ranking_title	ranking_version	country_name	country_rank	country_score
Corruption Perceptions Index	2022	Afghanistan	150	24
Corruption Perceptions Index	2022	Albania	101	36
Corruption Perceptions Index	2022	Algeria	116	33
Corruption Perceptions Index	2022	Angola	116	33
Corruption Perceptions Index	2022	Argentina	94	38
Corruption Perceptions Index	2022	Armenia	63	46
Corruption Perceptions Index	2022	Australia	13	75
Corruption Perceptions Index	2022	Austria	22	71
Corruption Perceptions Index	2022	Azerbaijan	157	23
Corruption Perceptions Index	2022	Bahamas	30	64
Corruption Perceptions Index	2022	Bahrain	69	44
Corruption Perceptions Index	2022	Bangladesh	147	25
Corruption Perceptions Index	2022	Barbados	29	65
Corruption Perceptions Index	2022	Belarus	91	39
Corruption Perceptions Index	2022	Belgium	18	73
Corruption Perceptions Index	2022	Benin	72	43
Corruption Perceptions Index	2022	Bhutan	25	68
Corruption Perceptions Index	2022	Bolivia	126	31
Corruption Perceptions Index	2022	Bosnia and Herzegovina	110	34
Corruption Perceptions Index	2022	Botswana	35	60
Corruption Perceptions Index	2022	Brazil	94	38
Corruption Perceptions Index	2022	Bulgaria	72	43
Corruption Perceptions Index	2022	Burkina Faso	77	42
Corruption Perceptions Index	2022	Burundi	171	17
Corruption Perceptions Index	2022	Cabo Verde	35	60
Corruption Perceptions Index	2022	Cambodia	150	24
Corruption Perceptions Index	2022	Cameroon	142	26
Corruption Perceptions Index	2022	Canada	14	74
Corruption Perceptions Index	2022	Central African Republic	150	24
Corruption Perceptions Index	2022	Chad	167	19
Corruption Perceptions Index	2022	Chile	27	67
Corruption Perceptions Index	2022	China	65	45
Corruption Perceptions Index	2022	Colombia	91	39
Corruption Perceptions Index	2022	Comoros	167	19
Corruption Perceptions Index	2022	Congo	164	21
Corruption Perceptions Index	2022	Costa Rica	48	54
Corruption Perceptions Index	2022	Cote d'Ivoire	99	37
Corruption Perceptions Index	2022	Croatia	57	50
Corruption Perceptions Index	2022	Cuba	65	45
Corruption Perceptions Index	2022	Cyprus	51	52
Corruption Perceptions Index	2022	Czechia	41	56
Corruption Perceptions Index	2022	Democratic Republic of the Congo	166	20
Corruption Perceptions Index	2022	Denmark	1	90
Corruption Perceptions Index	2022	Djibouti	130	30
Corruption Perceptions Index	2022	Dominica	45	55
Corruption Perceptions Index	2022	Dominican Republic	123	32
Corruption Perceptions Index	2022	Ecuador	101	36
Corruption Perceptions Index	2022	Egypt	130	30
Corruption Perceptions Index	2022	El Salvador	116	33
Corruption Perceptions Index	2022	Equatorial Guinea	171	17
Corruption Perceptions Index	2022	Eritrea	162	22
Corruption Perceptions Index	2022	Estonia	14	74
Corruption Perceptions Index	2022	Eswatini	130	30
Corruption Perceptions Index	2022	Ethiopia	94	38
Corruption Perceptions Index	2022	Fiji	49	53
Corruption Perceptions Index	2022	Finland	2	87
Corruption Perceptions Index	2022	France	21	72
Corruption Perceptions Index	2022	Gabon	136	29
Corruption Perceptions Index	2022	Gambia	110	34
Corruption Perceptions Index	2022	Georgia	41	56
Corruption Perceptions Index	2022	Germany	9	79
Corruption Perceptions Index	2022	Ghana	72	43
Corruption Perceptions Index	2022	Greece	51	52
Corruption Perceptions Index	2022	Grenada	51	52
Corruption Perceptions Index	2022	Guatemala	150	24
Corruption Perceptions Index	2022	Guinea	147	25
Corruption Perceptions Index	2022	Guinea Bissau	164	21
Corruption Perceptions Index	2022	Guyana	85	40
Corruption Perceptions Index	2022	Haiti	171	17
Corruption Perceptions Index	2022	Honduras	157	23
Corruption Perceptions Index	2022	Hong Kong	12	76
Corruption Perceptions Index	2022	Hungary	77	42
Corruption Perceptions Index	2022	Iceland	14	74
Corruption Perceptions Index	2022	India	85	40
Corruption Perceptions Index	2022	Indonesia	110	34
Corruption Perceptions Index	2022	Iran	147	25
Corruption Perceptions Index	2022	Iraq	157	23
Corruption Perceptions Index	2022	Ireland	10	77
Corruption Perceptions Index	2022	Israel	31	63
Corruption Perceptions Index	2022	Italy	41	56
Corruption Perceptions Index	2022	Jamaica	69	44
Corruption Perceptions Index	2022	Japan	18	73
Corruption Perceptions Index	2022	Jordan	61	47
Corruption Perceptions Index	2022	Kazakhstan	101	36
Corruption Perceptions Index	2022	Kenya	123	32
Corruption Perceptions Index	2022	Korea, North	171	17
Corruption Perceptions Index	2022	Korea, South	31	63
Corruption Perceptions Index	2022	Kosovo	84	41
Corruption Perceptions Index	2022	Kuwait	77	42
Corruption Perceptions Index	2022	Kyrgyzstan	140	27
Corruption Perceptions Index	2022	Laos	126	31
Corruption Perceptions Index	2022	Latvia	39	59
Corruption Perceptions Index	2022	Lebanon	150	24
Corruption Perceptions Index	2022	Lesotho	99	37
Corruption Perceptions Index	2022	Liberia	142	26
Corruption Perceptions Index	2022	Libya	171	17
Corruption Perceptions Index	2022	Lithuania	33	62
Corruption Perceptions Index	2022	Luxembourg	10	77
Corruption Perceptions Index	2022	Madagascar	142	26
Corruption Perceptions Index	2022	Malawi	110	34
Corruption Perceptions Index	2022	Malaysia	61	47
Corruption Perceptions Index	2022	Maldives	85	40
Corruption Perceptions Index	2022	Mali	137	28
Corruption Perceptions Index	2022	Malta	54	51
Corruption Perceptions Index	2022	Mauritania	130	30
Corruption Perceptions Index	2022	Mauritius	57	50
Corruption Perceptions Index	2022	Mexico	126	31
Corruption Perceptions Index	2022	Moldova	91	39
Corruption Perceptions Index	2022	Mongolia	116	33
Corruption Perceptions Index	2022	Montenegro	65	45
Corruption Perceptions Index	2022	Morocco	94	38
Corruption Perceptions Index	2022	Mozambique	142	26
Corruption Perceptions Index	2022	Myanmar	157	23
Corruption Perceptions Index	2022	Namibia	59	49
Corruption Perceptions Index	2022	Nepal	110	34
Corruption Perceptions Index	2022	Netherlands	8	80
Corruption Perceptions Index	2022	New Zealand	2	87
Corruption Perceptions Index	2022	Nicaragua	167	19
Corruption Perceptions Index	2022	Niger	123	32
Corruption Perceptions Index	2022	Nigeria	150	24
Corruption Perceptions Index	2022	North Macedonia	85	40
Corruption Perceptions Index	2022	Norway	4	84
Corruption Perceptions Index	2022	Oman	69	44
Corruption Perceptions Index	2022	Pakistan	140	27
Corruption Perceptions Index	2022	Panama	101	36
Corruption Perceptions Index	2022	Papua New Guinea	130	30
Corruption Perceptions Index	2022	Paraguay	137	28
Corruption Perceptions Index	2022	Peru	101	36
Corruption Perceptions Index	2022	Philippines	116	33
Corruption Perceptions Index	2022	Poland	45	55
Corruption Perceptions Index	2022	Portugal	33	62
Corruption Perceptions Index	2022	Qatar	40	58
Corruption Perceptions Index	2022	Romania	63	46
Corruption Perceptions Index	2022	Russia	137	28
Corruption Perceptions Index	2022	Rwanda	54	51
Corruption Perceptions Index	2022	Saint Lucia	45	55
Corruption Perceptions Index	2022	Saint Vincent and the Grenadines	35	60
Corruption Perceptions Index	2022	Sao Tome and Principe	65	45
Corruption Perceptions Index	2022	Saudi Arabia	54	51
Corruption Perceptions Index	2022	Senegal	72	43
Corruption Perceptions Index	2022	Serbia	101	36
Corruption Perceptions Index	2022	Seychelles	23	70
Corruption Perceptions Index	2022	Sierra Leone	110	34
Corruption Perceptions Index	2022	Singapore	5	83
Corruption Perceptions Index	2022	Slovakia	49	53
Corruption Perceptions Index	2022	Slovenia	41	56
Corruption Perceptions Index	2022	Solomon Islands	77	42
Corruption Perceptions Index	2022	Somalia	180	12
Corruption Perceptions Index	2022	South Africa	72	43
Corruption Perceptions Index	2022	South Sudan	178	13
Corruption Perceptions Index	2022	Spain	35	60
Corruption Perceptions Index	2022	Sri Lanka	101	36
Corruption Perceptions Index	2022	Sudan	162	22
Corruption Perceptions Index	2022	Suriname	85	40
Corruption Perceptions Index	2022	Sweden	5	83
Corruption Perceptions Index	2022	Switzerland	7	82
Corruption Perceptions Index	2022	Syria	178	13
Corruption Perceptions Index	2022	Taiwan	25	68
Corruption Perceptions Index	2022	Tajikistan	150	24
Corruption Perceptions Index	2022	Tanzania	94	38
Corruption Perceptions Index	2022	Thailand	101	36
Corruption Perceptions Index	2022	Timor-Leste	77	42
Corruption Perceptions Index	2022	Togo	130	30
Corruption Perceptions Index	2022	Trinidad and Tobago	77	42
Corruption Perceptions Index	2022	Tunisia	85	40
Corruption Perceptions Index	2022	Turkey	101	36
Corruption Perceptions Index	2022	Turkmenistan	167	19
Corruption Perceptions Index	2022	Uganda	142	26
Corruption Perceptions Index	2022	Ukraine	116	33
Corruption Perceptions Index	2022	United Arab Emirates	27	67
Corruption Perceptions Index	2022	United Kingdom	18	73
Corruption Perceptions Index	2022	United States of America	24	69
Corruption Perceptions Index	2022	Uruguay	14	74
Corruption Perceptions Index	2022	Uzbekistan	126	31
Corruption Perceptions Index	2022	Vanuatu	60	48
Corruption Perceptions Index	2022	Venezuela	177	14
Corruption Perceptions Index	2022	Vietnam	77	42
Corruption Perceptions Index	2022	Yemen	176	16
Corruption Perceptions Index	2022	Zambia	116	33
Corruption Perceptions Index	2022	Zimbabwe	157	23
Criminality Index	2021	Afghanistan	187	7.08
Criminality Index	2021	Albania	133	5.63
Criminality Index	2021	Algeria	73	4.51
Criminality Index	2021	Andorra	16	2.96
Criminality Index	2021	Angola	119	5.29
Criminality Index	2021	Antigua and Barbuda	27	3.34
Criminality Index	2021	Argentina	68	4.38
Criminality Index	2021	Armenia	23	3.26
Criminality Index	2021	Australia	49	4
Criminality Index	2021	Austria	52	4.04
Criminality Index	2021	Azerbaijan	110	5.08
Criminality Index	2021	Bahamas	39	3.79
Criminality Index	2021	Bahrain	93	4.83
Criminality Index	2021	Bangladesh	105	4.98
Criminality Index	2021	Barbados	21	3.21
Criminality Index	2021	Belarus	110	5.08
Criminality Index	2021	Belgium	65	4.34
Criminality Index	2021	Belize	83	4.64
Criminality Index	2021	Benin	118	5.25
Criminality Index	2021	Bhutan	36	3.69
Criminality Index	2021	Bolivia	63	4.3
Criminality Index	2021	Bosnia and Herzegovina	144	5.89
Criminality Index	2021	Botswana	37	3.71
Criminality Index	2021	Brazil	172	6.5
Criminality Index	2021	Brunei	14	2.76
Criminality Index	2021	Bulgaria	124	5.43
Criminality Index	2021	Burkina Faso	127	5.49
Criminality Index	2021	Burundi	73	4.51
Criminality Index	2021	Cabo Verde	52	4.04
Criminality Index	2021	Cambodia	142	5.83
Criminality Index	2021	Cameroon	166	6.31
Criminality Index	2021	Canada	33	3.66
Criminality Index	2021	Central African Republic	185	7.04
Criminality Index	2021	Chad	143	5.86
Criminality Index	2021	Chile	80	4.6
Criminality Index	2021	China	150	6.01
Criminality Index	2021	Colombia	192	7.66
Criminality Index	2021	Comoros	43	3.86
Criminality Index	2021	Congo, Dem. Rep.	193	7.75
Criminality Index	2021	Congo, Rep.	107	5.03
Criminality Index	2021	Costa Rica	106	4.99
Criminality Index	2021	Croatia	109	5.06
Criminality Index	2021	Cuba	29	3.44
Criminality Index	2021	Cyprus	60	4.19
Criminality Index	2021	Czech Republic	82	4.63
Criminality Index	2021	Côte d'Ivoire	157	6.15
Criminality Index	2021	Denmark	43	3.86
Criminality Index	2021	Djibouti	48	3.99
Criminality Index	2021	Dominica	11	2.63
Criminality Index	2021	Dominican Republic	114	5.15
Criminality Index	2021	Ecuador	163	6.25
Criminality Index	2021	Egypt	115	5.16
Criminality Index	2021	El Salvador	147	5.94
Criminality Index	2021	Equatorial Guinea	57	4.11
Criminality Index	2021	Eritrea	65	4.34
Criminality Index	2021	Estonia	31	3.6
Criminality Index	2021	Eswatini	32	3.63
Criminality Index	2021	Ethiopia	90	4.79
Criminality Index	2021	Fiji	45	3.9
Criminality Index	2021	Finland	13	2.71
Criminality Index	2021	France	134	5.66
Criminality Index	2021	Gabon	96	4.9
Criminality Index	2021	Gambia	93	4.83
Criminality Index	2021	Georgia	16	2.96
Criminality Index	2021	Germany	96	4.9
Criminality Index	2021	Ghana	150	6.01
Criminality Index	2021	Greece	101	4.93
Criminality Index	2021	Grenada	19	3.05
Criminality Index	2021	Guatemala	171	6.48
Criminality Index	2021	Guinea	116	5.2
Criminality Index	2021	Guinea-Bissau	126	5.45
Criminality Index	2021	Guyana	112	5.1
Criminality Index	2021	Haiti	136	5.73
Criminality Index	2021	Honduras	184	6.98
Criminality Index	2021	Hungary	72	4.5
Criminality Index	2021	Iceland	28	3.39
Criminality Index	2021	India	130	5.53
Criminality Index	2021	Indonesia	169	6.38
Criminality Index	2021	Iran	188	7.1
Criminality Index	2021	Iraq	186	7.05
Criminality Index	2021	Ireland	96	4.9
Criminality Index	2021	Israel	70	4.41
Criminality Index	2021	Italy	141	5.81
Criminality Index	2021	Jamaica	146	5.91
Criminality Index	2021	Japan	76	4.53
Criminality Index	2021	Jordan	88	4.71
Criminality Index	2021	Kazakhstan	61	4.26
Criminality Index	2021	Kenya	183	6.95
Criminality Index	2021	Kiribati	8	2.35
Criminality Index	2021	Korea, DPR	89	4.78
Criminality Index	2021	Korea, Rep.	100	4.91
Criminality Index	2021	Kuwait	113	5.14
Criminality Index	2021	Kyrgyzstan	121	5.33
Criminality Index	2021	Laos	129	5.51
Criminality Index	2021	Latvia	30	3.51
Criminality Index	2021	Lebanon	179	6.76
Criminality Index	2021	Lesotho	45	3.9
Criminality Index	2021	Liberia	108	5.05
Criminality Index	2021	Libya	174	6.55
Criminality Index	2021	Liechtenstein	4	1.88
Criminality Index	2021	Lithuania	26	3.31
Criminality Index	2021	Luxembourg	9	2.36
Criminality Index	2021	Madagascar	131	5.59
Criminality Index	2021	Malawi	42	3.83
Criminality Index	2021	Malaysia	147	5.94
